approach_id,sample_id,management_id,side_label,lat,lon,center_lat,center_lon,source_scope,public_state,public_curb_lowering,public_tactile,geometry_quality,road_snap_distance_m,crosswalk_length_m,crosswalk_width_m,double_review_required,review_status,reviewer_1,review_1_date,review_1_curb,review_1_tactile,review_1_obstacle,review_1_result,review_1_note,reviewer_2,review_2_date,review_2_curb,review_2_tactile,review_2_obstacle,review_2_result,review_2_note,adjudication,ai_candidate_label,ai_confidence,ai_human_approved,evidence_date,evidence_url,ai_precheck_result,ai_precheck_note,ai_precheck_pass2_status
CW06-A,CW06,2024121072,A,37.4017671465952,126.92166571676718,37.40180602,126.921626,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.4,11.1,7.96,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-12-01 14:54:27,"https://map.kakao.com/link/roadview/37.4017671,126.9216657",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,비대상
CW06-B,CW06,2024121072,B,37.401844893404814,126.92158628323284,37.40180602,126.921626,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.4,11.1,7.96,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-12-01 14:54:27,"https://map.kakao.com/link/roadview/37.4018449,126.9215863",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,비대상
CW07-A,CW07,2024121209,A,37.40172334566271,126.92173024130342,37.40173706,126.9217644,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,3.53,6.76,6.05,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 13:09:25,"https://map.kakao.com/link/roadview/37.4017233,126.9217302",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW07-B,CW07,2024121209,B,37.4017507743373,126.9217985586966,37.40173706,126.9217644,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,3.53,6.76,6.05,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 13:09:25,"https://map.kakao.com/link/roadview/37.4017508,126.9217986",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW08-A,CW08,2024121206,A,37.40151630806864,126.92345020395895,37.40153402,126.9234847,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.44,7.25,6.72,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-11-17 14:28:06,"https://map.kakao.com/link/roadview/37.4015163,126.9234502",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,비대상
CW08-B,CW08,2024121206,B,37.401551731931356,126.92351919604104,37.40153402,126.9234847,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.44,7.25,6.72,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 14:28:06,"https://map.kakao.com/link/roadview/37.4015517,126.9235192",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW09-A,CW09,2024121203,A,37.4012455863223,126.92224733040224,37.40126888,126.9222862,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.58,8.59,7.16,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 11:48:15,"https://map.kakao.com/link/roadview/37.4012456,126.9222473",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW09-B,CW09,2024121203,B,37.40129217367772,126.92232506959778,37.40126888,126.9222862,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.58,8.59,7.16,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 13:09:18,"https://map.kakao.com/link/roadview/37.4012922,126.9223251",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW10-A,CW10,2024121208,A,37.40122776316556,126.92368033197005,37.40125246,126.9237238,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.35,9.43,8.03,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-11-17 14:28:00,"https://map.kakao.com/link/roadview/37.4012278,126.9236803",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,비대상
CW10-B,CW10,2024121208,B,37.40127715683444,126.92376726802996,37.40125246,126.9237238,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.35,9.43,8.03,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,tactile_absent_candidate,0.76,,2025-11-17 14:28:00,"https://map.kakao.com/link/roadview/37.4012772,126.9237673",block,횡단 지점은 보이지만 점자블록이 보이지 않음,비대상
CW11-A,CW11,2024121196,A,37.401019360005925,126.92269349040264,37.40103172,126.9227142,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,4.77,4.57,4.56,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4010194,126.9226935",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW11-B,CW11,2024121196,B,37.40104407999407,126.92273490959737,37.40103172,126.9227142,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,4.77,4.57,4.56,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4010441,126.9227349",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW12-A,CW12,2024121197,A,37.40099326142671,126.92264523773848,37.40100243,126.9226606,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.96,3.39,2.87,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4009933,126.9226452",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW12-B,CW12,2024121197,B,37.401011598573284,126.92267596226152,37.40100243,126.9226606,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.96,3.39,2.87,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4010116,126.9226760",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW13-A,CW13,2024121190,A,37.40083738053178,126.92194039159135,37.400866,126.9218769,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.68,12.89,11.18,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 15:01:57,"https://map.kakao.com/link/roadview/37.4008374,126.9219404",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW13-B,CW13,2024121190,B,37.40089461946822,126.92181340840867,37.400866,126.9218769,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.68,12.89,11.18,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,tactile_absent_candidate,0.76,,2025-11-18 11:52:27,"https://map.kakao.com/link/roadview/37.4008946,126.9218134",block,경사로는 보이나 점자블록이 보이지 않음,비대상
CW14-A,CW14,2024120086,A,37.39951423562795,126.92380849157105,37.39955921,126.9238808,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.47,16.2,15.79,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-18 14:45:30,"https://map.kakao.com/link/roadview/37.3995142,126.9238085",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW14-B,CW14,2024120086,B,37.399604184372045,126.92395310842896,37.39955921,126.9238808,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.47,16.2,15.79,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-18 14:45:30,"https://map.kakao.com/link/roadview/37.3996042,126.9239531",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW15-A,CW15,2024122521,A,37.398330514879135,126.92430267046433,37.39838246,126.9242529,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.73,14.47,12.5,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 11:45:38,"https://map.kakao.com/link/roadview/37.3983305,126.9243027",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW15-B,CW15,2024122521,B,37.39843440512087,126.92420312953567,37.39838246,126.9242529,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.73,14.47,12.5,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 11:49:28,"https://map.kakao.com/link/roadview/37.3984344,126.9242031",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW16-A,CW16,2024122517,A,37.39751862266188,126.92279839429749,37.39758646,126.9227402,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.36,18.19,12.5,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-18 14:18:05,"https://map.kakao.com/link/roadview/37.3975186,126.9227984",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW16-B,CW16,2024122517,B,37.397654297338114,126.92268200570251,37.39758646,126.9227402,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,1.36,18.19,12.5,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-18 14:18:05,"https://map.kakao.com/link/roadview/37.3976543,126.9226820",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW17-A,CW17,2024122512,A,37.39667273168306,126.92338647331106,37.39670022,126.9233629,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.19,7.37,6.22,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-11-18 15:24:23,"https://map.kakao.com/link/roadview/37.3966727,126.9233865",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,비대상
CW17-B,CW17,2024122512,B,37.396727708316945,126.92333932668895,37.39670022,126.9233629,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.19,7.37,6.22,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-18 15:24:23,"https://map.kakao.com/link/roadview/37.3967277,126.9233393",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW18-A,CW18,2024122514,A,37.39581829178769,126.9241050997271,37.39585333,126.9240758,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.86,9.32,8.15,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,tactile_absent_candidate,0.76,,2025-12-01 14:08:47,"https://map.kakao.com/link/roadview/37.3958183,126.9241051",block,시장 진입 횡단 지점에 점자블록이 보이지 않음,완료
CW18-B,CW18,2024122514,B,37.39588836821232,126.92404650027288,37.39585333,126.9240758,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.86,9.32,8.15,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-12-01 14:09:05,"https://map.kakao.com/link/roadview/37.3958884,126.9240465",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,완료
CW19-A,CW19,2024120083,A,37.39561913411808,126.9239184646548,37.39567724,126.9240285,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.55,23.32,19.29,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-12-01 13:50:22,"https://map.kakao.com/link/roadview/37.3956191,126.9239185",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW19-B,CW19,2024120083,B,37.39573534588192,126.92413853534521,37.39567724,126.9240285,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.55,23.32,19.29,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-12-01 14:08:44,"https://map.kakao.com/link/roadview/37.3957353,126.9241385",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW20-A,CW20,2024120362,A,37.39434797316774,126.92501464784056,37.39440509,126.9251215,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,2.18,22.73,18.36,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 13:50:35,"https://map.kakao.com/link/roadview/37.3943480,126.9250146",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW20-B,CW20,2024120362,B,37.39446220683226,126.92522835215944,37.39440509,126.9251215,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,2.18,22.73,18.36,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 14:08:27,"https://map.kakao.com/link/roadview/37.3944622,126.9252284",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW21-A,CW21,2025085034,A,37.39303756607922,126.92322375721096,37.39307064,126.923197,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.34,8.71,6.0,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-18 11:18:33,"https://map.kakao.com/link/roadview/37.3930376,126.9232238",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW21-B,CW21,2025085034,B,37.39310371392077,126.92317024278903,37.39307064,126.923197,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.34,8.71,6.0,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-18 11:18:33,"https://map.kakao.com/link/roadview/37.3931037,126.9231702",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,완료
CW22-A,CW22,2025085029,A,37.39214078880838,126.92361853491747,37.39217999,126.9236939,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,4.12,15.9,5.96,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:58:28,"https://map.kakao.com/link/roadview/37.3921408,126.9236185",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW22-B,CW22,2025085029,B,37.39221919119162,126.92376926508251,37.39217999,126.9236939,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,4.12,15.9,5.96,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 11:58:28,"https://map.kakao.com/link/roadview/37.3922192,126.9237693",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW23-A,CW23,2025085023,A,37.39211628056607,126.92388323781566,37.39213835,126.9238653,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.55,5.82,2.96,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 10:22:37,"https://map.kakao.com/link/roadview/37.3921163,126.9238832",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW23-B,CW23,2025085023,B,37.39216041943393,126.92384736218435,37.39213835,126.9238653,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.55,5.82,2.96,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-18 10:22:37,"https://map.kakao.com/link/roadview/37.3921604,126.9238474",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW24-A,CW24,2025085028,A,37.3920183365017,126.92359267780495,37.39205273,126.9236588,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,14.39,13.95,2.97,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:58:26,"https://map.kakao.com/link/roadview/37.3920183,126.9235927",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW24-B,CW24,2025085028,B,37.392087123498314,126.92372492219503,37.39205273,126.9236588,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,14.39,13.95,2.97,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 11:58:26,"https://map.kakao.com/link/roadview/37.3920871,126.9237249",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW25-A,CW25,2025085030,A,37.3919801552276,126.9237435785561,37.39202055,126.9238204,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,4.39,16.26,5.99,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:58:25,"https://map.kakao.com/link/roadview/37.3919802,126.9237436",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW25-B,CW25,2025085030,B,37.3920609447724,126.9238972214439,37.39202055,126.9238204,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,4.39,16.26,5.99,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:58:25,"https://map.kakao.com/link/roadview/37.3920609,126.9238972",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW26-A,CW26,2025085031,A,37.39130366285457,126.9243625992532,37.39133025,126.9244155,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,3.09,11.05,5.99,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:57:37,"https://map.kakao.com/link/roadview/37.3913037,126.9243626",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW26-B,CW26,2025085031,B,37.39135683714544,126.92446840074679,37.39133025,126.9244155,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,3.09,11.05,5.99,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 11:57:37,"https://map.kakao.com/link/roadview/37.3913568,126.9244684",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW27-A,CW27,2025085009,A,37.39045684884471,126.92505581204853,37.39049146,126.9251204,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,2.77,13.75,5.96,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:57:25,"https://map.kakao.com/link/roadview/37.3904568,126.9250558",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW27-B,CW27,2025085009,B,37.390526071155286,126.92518498795148,37.39049146,126.9251204,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,2.77,13.75,5.96,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-11-17 11:57:25,"https://map.kakao.com/link/roadview/37.3905261,126.9251850",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,완료
CW28-A,CW28,2025085010,A,37.39040313736469,126.92534644316888,37.3904547,126.9253042,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.26,13.63,6.0,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 13:29:46,"https://map.kakao.com/link/roadview/37.3904031,126.9253464",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW28-B,CW28,2025085010,B,37.390506262635306,126.92526195683112,37.3904547,126.9253042,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.26,13.63,6.0,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:57:25,"https://map.kakao.com/link/roadview/37.3905063,126.9252620",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW29-A,CW29,2025085011,A,37.39031011408944,126.92508866166824,37.39035668,126.9250655,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.67,11.08,5.93,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:29:43,"https://map.kakao.com/link/roadview/37.3903101,126.9250887",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW29-B,CW29,2025085011,B,37.390403245910555,126.92504233833175,37.39035668,126.9250655,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.67,11.08,5.93,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:29:43,"https://map.kakao.com/link/roadview/37.3904032,126.9250423",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW30-A,CW30,2025085027,A,37.39012616733453,126.92409457142617,37.39016544,126.9241116,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,8.75,9.19,4.09,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 13:29:32,"https://map.kakao.com/link/roadview/37.3901262,126.9240946",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW30-B,CW30,2025085027,B,37.390204712665465,126.92412862857385,37.39016544,126.9241116,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,8.75,9.19,4.09,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:29:32,"https://map.kakao.com/link/roadview/37.3902047,126.9241286",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
