approach_id,sample_id,side_label,double_review_required,evidence_shot_date,pano_distance_m,roadview_link,resolved_roadview_url,pass1_reviewer,pass1_date,pass1_curb,pass1_tactile,pass1_obstacle,pass1_result,pass1_note,pass2_reviewer,pass2_date,pass2_curb,pass2_tactile,pass2_obstacle,pass2_result,pass2_note,final_ai_precheck_curb,final_ai_precheck_tactile,final_ai_precheck_obstacle,final_ai_precheck_result,final_ai_precheck_note,ai_candidate_label,ai_confidence,human_review_required,ai_human_approved,official_c_effect
CW11-A,CW11,A,False,2025-11-18 14:46:16,13.98,"https://map.kakao.com/link/roadview/37.4010194,126.9226935",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW11-B,CW11,B,False,2025-11-18 14:46:16,18.48,"https://map.kakao.com/link/roadview/37.4010441,126.9227349",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW12-A,CW12,A,True,2025-11-18 14:46:16,8.94,"https://map.kakao.com/link/roadview/37.4009933,126.9226452",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW12-B,CW12,B,True,2025-11-18 14:46:16,12.22,"https://map.kakao.com/link/roadview/37.4010116,126.9226760",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW13-A,CW13,A,False,2025-11-18 15:01:57,5.85,"https://map.kakao.com/link/roadview/37.4008374,126.9219404",https://map.kakao.com/?panoid=1202874946&pan=70.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482731.0&urlY=1083764.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW13-B,CW13,B,False,2025-11-18 11:52:27,4.31,"https://map.kakao.com/link/roadview/37.4008946,126.9218134",https://map.kakao.com/?panoid=1202871529&pan=231.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1083761.0,Codex_AI_precheck_1,2026-09-15,있음,없음,없음,block,경사로는 보이나 점자블록이 보이지 않음,,,,,,,,있음,없음,없음,block,경사로는 보이나 점자블록이 보이지 않음,tactile_absent_candidate,0.76,Y,,미반영(사람 승인 전)
CW14-A,CW14,A,True,2025-11-18 14:45:30,11.15,"https://map.kakao.com/link/roadview/37.3995142,126.9238085",https://map.kakao.com/?panoid=1202874714&pan=322.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483161.0&urlY=1083394.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,Codex_AI_precheck_2,2026-09-15,있음,있음,없음,pass,역순·착지부 중심 재판독에서 경사로와 점자블록을 확인,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW14-B,CW14,B,True,2025-11-18 14:45:30,7.04,"https://map.kakao.com/link/roadview/37.3996042,126.9239531",https://map.kakao.com/?panoid=1202874714&pan=322.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483161.0&urlY=1083394.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,Codex_AI_precheck_2,2026-09-15,있음,있음,없음,pass,역순·착지부 중심 재판독에서 경사로와 점자블록을 확인,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW15-A,CW15,A,False,2025-11-18 11:45:38,3.21,"https://map.kakao.com/link/roadview/37.3983305,126.9243027",https://map.kakao.com/?panoid=1202871493&pan=42.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483239.0&urlY=1083064.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW15-B,CW15,B,False,2025-11-18 11:49:28,4.23,"https://map.kakao.com/link/roadview/37.3984344,126.9242031",https://map.kakao.com/?panoid=1202871514&pan=237.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483232.0&urlY=1083086.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW16-A,CW16,A,True,2025-11-18 14:18:05,7.9,"https://map.kakao.com/link/roadview/37.3975186,126.9227984",https://map.kakao.com/?panoid=1202873960&pan=57.2&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1082851.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,Codex_AI_precheck_2,2026-09-15,있음,있음,없음,pass,역순·착지부 중심 재판독에서 경사로와 점자블록을 확인,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW16-B,CW16,B,True,2025-11-18 14:18:05,10.87,"https://map.kakao.com/link/roadview/37.3976543,126.9226820",https://map.kakao.com/?panoid=1202873960&pan=57.2&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1082851.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,Codex_AI_precheck_2,2026-09-15,있음,있음,없음,pass,역순·착지부 중심 재판독에서 경사로와 점자블록을 확인,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW17-A,CW17,A,False,2025-11-18 15:24:23,5.44,"https://map.kakao.com/link/roadview/37.3966727,126.9233865",https://map.kakao.com/?panoid=1202875183&pan=34.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483033.0&urlY=1082609.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,,,,,,,,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW17-B,CW17,B,False,2025-11-18 15:24:23,1.97,"https://map.kakao.com/link/roadview/37.3967277,126.9233393",https://map.kakao.com/?panoid=1202875183&pan=34.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483033.0&urlY=1082609.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,,,,,,,,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,visibility_review_needed,0.52,Y,,미반영(사람 승인 전)
CW18-A,CW18,A,True,2025-12-01 14:08:47,7.65,"https://map.kakao.com/link/roadview/37.3958183,126.9241051",https://map.kakao.com/?panoid=1203480723&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483181.0&urlY=1082354.0,Codex_AI_precheck_1,2026-09-15,있음,없음,없음,block,시장 진입 횡단 지점에 점자블록이 보이지 않음,Codex_AI_precheck_2,2026-09-15,있음,없음,없음,block,역순·착지부 중심 재판독에서도 점자블록 부재 후보,있음,없음,없음,block,시장 진입 횡단 지점에 점자블록이 보이지 않음,tactile_absent_candidate,0.76,Y,,미반영(사람 승인 전)
CW18-B,CW18,B,True,2025-12-01 14:09:05,7.98,"https://map.kakao.com/link/roadview/37.3958884,126.9240465",https://map.kakao.com/?panoid=1203480726&pan=323.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483167.0&urlY=1082374.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW19-A,CW19,A,False,2025-12-01 13:50:22,5.28,"https://map.kakao.com/link/roadview/37.3956191,126.9239185",https://map.kakao.com/?panoid=1203478741&pan=147.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483169.0&urlY=1082312.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,,,,,,,,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,visibility_review_needed,0.52,Y,,미반영(사람 승인 전)
CW19-B,CW19,B,False,2025-12-01 14:08:44,4.9,"https://map.kakao.com/link/roadview/37.3957353,126.9241385",https://map.kakao.com/?panoid=1203480720&pan=326.7&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483195.0&urlY=1082333.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,,,,,,,,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW20-A,CW20,A,True,2025-12-01 13:50:35,2.18,"https://map.kakao.com/link/roadview/37.3943480,126.9250146",https://map.kakao.com/?panoid=1203478791&pan=146.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483404.0&urlY=1081956.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW20-B,CW20,B,True,2025-12-01 14:08:27,7.23,"https://map.kakao.com/link/roadview/37.3944622,126.9252284",https://map.kakao.com/?panoid=1203480668&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483430.0&urlY=1081979.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
