관리번호,횡단보도폭,횡단보도길이,관할지역,위도,경도,보도턱낮춤여부,점자블록유무
2024120076,8.12,8.43,안양7동,37.39596417,126.9297961,,
2024120077,8.22,8.27,안양7동,37.39596535,126.9299289,,
2024120078,8.76,8.83,안양7동,37.39588876,126.9299222,,
2024120079,4.35,4.38,안양7동,37.39620744,126.9293523,,
2024120080,10.42,11.71,안양4동,37.39634577,126.920414,,
2024120081,5.36,6.35,안양4동,37.39714994,126.9217702,,
2024120082,9.99,11.1,안양4동,37.39684072,126.9213546,,
2024120083,19.29,23.32,안양1동,37.39567724,126.9240285,,
2024120084,20.1,26.26,안양4동,37.39761941,126.9224261,,
2024120085,7.83,10.16,안양5동,37.3950486,126.9213665,,
2024120086,15.79,16.2,안양1동,37.39955921,126.9238808,,
2024120087,12.19,13.99,안양1동,37.39857868,126.9246125,,
2024120088,4.5,5.59,부흥동,37.39233345,126.9495412,,
2024120089,11.06,14.38,부흥동,37.39239802,126.9494208,,
2024120090,12.5,12.51,부흥동,37.39126918,126.9476412,,
2024120091,15.04,15.64,부흥동,37.39111342,126.9478596,,
2024120092,13.58,13.99,부흥동,37.39127319,126.9478416,,
2024120093,6.14,6.9,부흥동,37.39217428,126.9491363,,
2024120094,16.82,17,부흥동,37.39293656,126.9457152,,
2024120095,13.56,14.1,부흥동,37.39278155,126.9457321,,
2024120096,7.06,7.19,비산2동,37.39274031,126.9421241,,
2024120097,7.85,8,호계2동,37.39126089,126.9429024,,
2024120098,5.96,6.19,비산2동,37.39267986,126.9421303,,
2024120099,6.39,6.41,비산2동,37.39266122,126.9422348,,
2024120100,6.35,7.76,안양7동,37.39006728,126.9409348,,
2024120107,8.84,8.99,안양5동,37.3939421,126.9222819,,
2024120108,7.81,9.41,안양5동,37.3935338,126.9239419,,
2024120109,6.35,7.53,안양5동,37.39344258,126.9240358,,
2024120110,12.02,12.22,안양5동,37.39354792,126.9241092,,
2024120111,8.41,11.35,안양5동,37.39374707,126.9246102,,
2024120112,9.32,9.53,안양5동,37.39469519,126.9216547,,
2024120113,6.2,8.78,관양동,37.40203407,126.9612593,,
2024120114,7.59,13.43,관양동,37.40408425,126.9613523,,
2024120115,5.9,6.07,관양동,37.40221203,126.9613157,,
2024120116,7.48,15.03,인덕원동,37.40142829,126.9604852,,
2024120117,9.48,16.84,부림동,37.40141501,126.9600848,,
2024120118,17.04,43.01,관양동,37.40378825,126.9610656,,
2024120119,7.18,14.54,관양동,37.40388142,126.9629453,,
2024120120,4.32,7.8,인덕원동,37.40138657,126.9614285,,
2024120121,4.93,5.53,관양동,37.40221451,126.9642315,,
2024120122,8.47,11.35,인덕원동,37.40153554,126.9644799,,
2024120123,8.23,14.06,인덕원동,37.40144199,126.9640355,,
2024120124,7.77,16.96,인덕원동,37.40133197,126.9643262,,
2024120125,7.33,18.2,관양동,37.40416887,126.9644999,,
2024120126,8.53,14.74,달안동,37.3957664,126.9496662,,
2024120127,12.15,17.15,달안동,37.39569429,126.9497449,,
2024120128,8.33,10.89,부흥동,37.39715043,126.9451595,,
2024120129,14.68,20.12,달안동,37.39517859,126.9487478,,
2024120130,16.08,18.72,부흥동,37.3952047,126.9485446,,
2024120131,14.71,18.77,달안동,37.39537043,126.9488296,,
2024120132,17.6,19.38,달안동,37.39541545,126.948595,,
2024120133,14.96,21.07,비산2동,37.39886638,126.9451836,,
2024120134,22.93,35.45,비산3동,37.39911335,126.9452533,,
2024120135,17.09,19.31,달안동,37.39793431,126.9460777,,
2024120136,17.61,19.4,달안동,37.39789068,126.9463515,,
2024120137,14.91,20.2,달안동,37.39774538,126.9462984,,
2024120138,14.22,15.61,달안동,37.39659729,126.9474221,,
2024120139,14.91,15.89,달안동,37.39665676,126.9473674,,
2024120140,9.53,10.9,부흥동,37.39659151,126.9472732,,
2024120141,14.52,15.97,달안동,37.39671975,126.9472988,,
2024120142,17.69,19.08,부흥동,37.39776183,126.9460346,,
2024120143,4.84,9.85,비산3동,37.3997558,126.9449038,,
2024120144,8.57,29.69,비산2동,37.39886415,126.9429049,,
2024120145,8.89,10.08,비산2동,37.39737752,126.9424246,,
2024120146,5.51,5.63,비산2동,37.39750988,126.9424359,,
2024120147,6.74,7.46,비산2동,37.39745998,126.9425948,,
2024120148,6.53,11.26,부흥동,37.39581411,126.9413399,,
2024120149,3.61,3.71,부흥동,37.39588058,126.9414408,,
2024120150,4.12,5.84,비산2동,37.39765765,126.9406214,,
2024120151,9.39,10.85,비산2동,37.39667594,126.9411757,,
2024120152,3.8,6.33,부흥동,37.39576383,126.9411665,,
2024120153,4.4,7.07,비산2동,37.39864749,126.9407153,,
2024120154,3.78,7.54,비산1동,37.39902237,126.9406846,,
2024120155,4.2,9.77,비산2동,37.39904447,126.9430739,,
2024120156,4.07,9.91,비산3동,37.39900796,126.9438754,,
2024120157,3.12,5.88,비산2동,37.39869464,126.9415721,,
2024120158,3.68,5.13,비산1동,37.39901283,126.9414943,,
2024120159,3.13,12.77,비산2동,37.39869374,126.9422902,,
2024120160,6.46,6.79,비산2동,37.39867958,126.943123,,
2024120161,2.94,6.59,관양동,37.40278939,126.9583158,,
2024120162,6.11,9.27,관양동,37.4020238,126.9559977,,
2024120163,5.73,8.12,부림동,37.40080795,126.9554825,,
2024120164,7.54,9.39,관양동,37.40627414,126.9734254,,
2024120165,7.14,9.22,관양동,37.40659866,126.9726873,,
2024120166,7.42,7.83,관양동,37.40675149,126.9724886,,
2024120167,9.44,10.47,관양동,37.40680027,126.9726867,,
2024120168,6.48,9.18,관양동,37.40720082,126.9724896,,
2024120169,3.83,7.07,관양동,37.407275,126.9720919,,
2024120170,5.41,8.1,관양동,37.40771501,126.9721923,,
2024120171,5.23,7.05,관양동,37.40716489,126.9703039,,
2024120172,4.97,6.07,관양동,37.40754486,126.9703898,,
2024120173,6.17,6.84,관양동,37.40834039,126.9732094,,
2024120174,4.37,11.67,관양동,37.40509464,126.9705908,,
2024120175,7.63,15.12,관양동,37.4051919,126.9711108,,
2024120176,4.3,7.44,관양동,37.40619406,126.971785,,
2024120177,7.69,16.59,관양동,37.40617337,126.9711623,,
2024120178,6.18,11.97,관양동,37.40629244,126.9713597,,
2024120179,6.47,18.63,관양동,37.40642634,126.9711738,,
2024120180,6.76,11.94,관양동,37.40630934,126.9709711,,
2024120181,7.51,7.86,관양동,37.40865885,126.9727012,,
2024120182,6.48,7.3,관양동,37.40890571,126.9728397,,
2024120183,6.66,7.14,관양동,37.40883684,126.9728215,,
2024120184,7.05,8.03,관양동,37.40845744,126.9735865,,
2024120185,13.51,13.67,관양동,37.40866653,126.9738659,,
2024120186,6.19,9.87,호계2동,37.37767373,126.9542915,,
2024120187,5.82,7.24,호계2동,37.37715557,126.9545075,,
2024120188,22.31,37.93,호계2동,37.37950132,126.9544677,,
2024120189,5.05,7.78,호계2동,37.379073,126.9523624,,
2024120190,5.23,6.6,귀인동,37.38491334,126.9628079,,
2024120191,5.21,6.6,귀인동,37.38485681,126.9627801,,
2024120192,18.82,26.3,귀인동,37.38105066,126.9613729,,
2024120193,3.66,5.97,귀인동,37.3848834,126.9628678,,
2024120194,8.47,8.74,갈산동,37.38061078,126.9613887,,
2024120195,4.99,6.51,귀인동,37.38483019,126.9628479,,
2024120196,4.93,6.23,귀인동,37.38459329,126.9629626,,
2024120197,6.87,10.82,귀인동,37.38390521,126.9609138,,
2024120198,6.82,8.64,귀인동,37.38369882,126.96031,,
2024120199,6.53,11.85,귀인동,37.38205809,126.9610587,,
2024120200,8.33,8.35,비산2동,37.39308443,126.9417029,,
2024120201,9.49,10.98,비산2동,37.39273904,126.9410327,,
2024120202,12.79,12.91,비산2동,37.39367347,126.9402249,,
2024120203,6.46,6.5,비산2동,37.39273708,126.9422148,,
2024120204,5.46,7.54,안양7동,37.39164838,126.9405555,,
2024120205,4.41,9.22,호계2동,37.39110079,126.9427918,,
2024120206,4.22,8.32,호계2동,37.3911429,126.9427313,,
2024120207,6.42,9.55,호계2동,37.39128614,126.9427543,,
2024120208,7.66,7.73,비산2동,37.39348251,126.9421136,,
2024120209,32.36,32.89,호계2동,37.39210216,126.9442633,,
2024120210,20.4,20.62,부흥동,37.39211899,126.9446727,,
2024120211,7.12,11.15,안양7동,37.39173656,126.9403332,,
2024120212,9.65,16.48,안양7동,37.39187966,126.9404166,,
2024120213,6.89,6.95,호계2동,37.39135292,126.9430214,,
2024120214,7.58,7.63,호계2동,37.3903032,126.9442668,,
2024120215,5.69,8.82,안양7동,37.39248649,126.9363614,,
2024120216,9.24,13.59,안양7동,37.39240188,126.9359057,,
2024120217,11.27,12.74,비산2동,37.39435322,126.9392061,,
2024120218,5.41,9.12,안양7동,37.39042254,126.9374742,,
2024120219,5.2,6.68,안양7동,37.39229437,126.9358419,,
2024120220,5.72,10.18,안양7동,37.39167369,126.9394952,,
2024120221,11.85,12.43,안양7동,37.39308819,126.9394981,,
2024120222,3.27,9.38,안양7동,37.39112199,126.939743,,
2024120223,5.06,8.13,안양7동,37.39031957,126.9375612,,
2024120224,10.47,10.5,비산2동,37.39480479,126.9396301,,
2024120225,12.13,12.74,비산2동,37.39436809,126.9390662,,
2024120226,13.02,16.2,안양7동,37.39460765,126.9361543,,
2024120227,11.2,16.43,안양7동,37.39445261,126.9362415,,
2024120228,16.82,19.11,안양7동,37.39369671,126.9381949,,
2024120229,13.01,16.37,안양7동,37.39446027,126.9364589,,
2024120230,12.59,15.69,안양7동,37.39389507,126.9381403,,
2024120231,16.32,16.59,안양7동,37.39311089,126.9374595,,
2024120232,7.55,11.38,안양7동,37.39296837,126.9374251,,
2024120233,7.51,8.24,안양7동,37.39287683,126.9372215,,
2024120234,11.88,16.51,안양7동,37.39211322,126.9350865,,
2024120235,12.2,12.25,안양7동,37.3920423,126.9378634,,
2024120236,13.47,14.98,안양7동,37.39204888,126.9380715,,
2024120237,9.74,10.13,안양7동,37.39187655,126.9378872,,
2024120238,6.09,9.42,안양7동,37.39164643,126.9398402,,
2024120239,7.05,7.15,안양7동,37.39012615,126.9396014,,
2024120240,4.29,7.33,안양7동,37.39047535,126.9375631,,
2024120241,3.4,11.44,안양7동,37.39070026,126.9358169,,
2024120242,4.95,7.22,안양7동,37.39085602,126.9351616,,
2024120243,5.42,9.06,안양7동,37.39075826,126.9351036,,
2024120244,5.42,8.43,안양7동,37.39067375,126.9352001,,
2024120245,5.82,9.42,안양7동,37.39071775,126.9353111,,
2024120246,8.64,12.3,안양7동,37.39188121,126.9381242,,
2024120247,13,13.96,안양7동,37.39373469,126.9385366,,
2024120248,9.17,13.52,안양7동,37.39232757,126.9357089,,
2024120249,4.33,10.28,안양7동,37.39158213,126.9397721,,
2024120250,5.1,5.6,안양6동,37.39024911,126.9302819,,
2024120251,5.4,6.25,안양6동,37.3903027,126.9301769,,
2024120252,4.68,5.71,안양6동,37.3900399,126.9303172,,
2024120253,4.89,6.33,안양6동,37.39268827,126.9312654,,
2024120254,6.13,6.89,안양6동,37.39119131,126.9320296,,
2024120255,4.27,6.31,안양6동,37.39015965,126.9327402,,
2024120256,5.33,8.72,안양7동,37.39077927,126.9339579,,
2024120257,5.91,6.21,안양7동,37.39181703,126.933294,,
2024120258,4.07,11.57,안양7동,37.39088943,126.9339838,,
2024120259,7.19,10.26,안양7동,37.39091824,126.9337992,,
2024120260,3.34,6.08,안양7동,37.39061615,126.933917,,
2024120261,11.25,19.58,안양7동,37.39213611,126.9348612,,
2024120262,7.55,7.65,안양7동,37.39385603,126.931174,,
2024120263,4.78,4.97,안양7동,37.39174846,126.9344283,,
2024120264,5.45,13,안양7동,37.39099976,126.9338663,,
2024120265,10.95,12.34,안양6동,37.39320621,126.9307057,,
2024120266,11.81,13.16,안양6동,37.39334074,126.9305893,,
2024120267,6.5,8.95,안양6동,37.39075445,126.9323461,,
2024120268,12.08,15.05,안양6동,37.39118692,126.9321669,,
2024120269,5.57,6.36,안양6동,37.39178071,126.9316405,,
2024120270,13.96,15.77,안양6동,37.3921478,126.9315063,,
2024120271,9.54,12.08,안양6동,37.39219606,126.9313398,,
2024120272,9.6,11.46,안양6동,37.39322856,126.9305727,,
2024120273,12.46,16.17,안양7동,37.39197852,126.9347456,,
2024120274,6.87,7.98,안양7동,37.3915342,126.9338993,,
2024120275,3.87,4.38,안양6동,37.39073212,126.9259857,,
2024120276,3.48,3.96,안양5동,37.39358569,126.9266367,,
2024120277,3.33,3.67,안양5동,37.39359379,126.9265816,,
2024120278,4.42,5.76,안양6동,37.39217078,126.9278596,,
2024120279,8.58,10,안양6동,37.39095144,126.9289845,,
2024120280,8.45,10.02,안양6동,37.39087381,126.9288366,,
2024120281,4.81,5.82,안양6동,37.39082006,126.9298119,,
2024120282,5.74,6.49,안양6동,37.39089198,126.9296909,,
2024120283,4.37,5.5,안양6동,37.39075459,126.9298001,,
2024120284,8.11,9.33,안양6동,37.39261363,126.9294059,,
2024120285,7.96,31.92,비산1동,37.39884573,126.938965,,
2024120286,4.12,12.68,비산2동,37.39865852,126.9391446,,
2024120287,6.51,9.39,병목안동,37.39188879,126.9141752,,
2024120288,5.09,6.84,병목안동,37.39066713,126.9148142,,
2024120289,6.81,7.58,병목안동,37.39035422,126.9148419,,
2024120290,13.16,14.6,병목안동,37.39473718,126.9130001,,
2024120291,11.87,13.1,병목안동,37.39428889,126.9121446,,
2024120292,3.62,7.82,안양3동,37.39361225,126.9142824,,
2024120293,8.24,8.34,병목안동,37.39159847,126.9143259,,
2024120294,8.64,9.16,병목안동,37.39077858,126.9148502,,
2024120295,5.72,8.4,병목안동,37.39059592,126.9149006,,
2024120296,6.38,15.27,병목안동,37.39223743,126.9095176,,
2024120297,4.23,6.21,병목안동,37.39111299,126.9087,,
2024120298,9.14,12.46,병목안동,37.39211974,126.9094096,,
2024120299,4.54,7.05,병목안동,37.39108413,126.9082431,,
2024120300,10.78,10.83,병목안동,37.39109759,126.9075147,,
2024120301,4.52,5.32,병목안동,37.39119425,126.9075492,,
2024120302,6.22,6.77,병목안동,37.39113876,126.9076402,,
2024120303,4.73,7.12,병목안동,37.3910527,126.9077742,,
2024120304,9.26,9.93,병목안동,37.39091216,126.9076966,,
2024120305,6.4,11.78,병목안동,37.39130845,126.9095693,,
2024120306,4.53,6.78,병목안동,37.3911507,126.9093824,,
2024120307,5.12,13.58,병목안동,37.39105424,126.9096422,,
2024120308,2.36,7.76,병목안동,37.39357631,126.9084831,,
2024120309,3.46,6.91,병목안동,37.39153454,126.9060879,,
2024120310,6.42,14.37,병목안동,37.39146331,126.9052061,,
2024120311,2.16,2.27,병목안동,37.39156351,126.9054499,,
2024120312,1.85,6.66,병목안동,37.39242321,126.9053883,,
2024120313,4.31,6,병목안동,37.39166545,126.9053747,,
2024120314,1.91,5.6,병목안동,37.39160212,126.905144,,
2024120315,2.34,6.75,병목안동,37.39235615,126.9053248,,
2024120316,2.67,5.95,병목안동,37.39239267,126.9052093,,
2024120317,10.39,12.96,병목안동,37.39246268,126.9094904,,
2024120318,9.72,12.04,병목안동,37.39022738,126.9098662,,
2024120319,2.79,4.27,병목안동,37.39155172,126.9064585,,
2024120320,4.1,6.49,병목안동,37.39153446,126.9068185,,
2024120321,5.86,6.18,병목안동,37.39256788,126.9051587,,
2024120322,6.94,10.81,달안동,37.39874314,126.9490903,,
2024120323,11.69,13.27,달안동,37.39598797,126.9481868,,
2024120324,4.83,6.52,달안동,37.39835569,126.9480187,,
2024120325,27.49,27.9,범계동,37.38988371,126.9491684,,
2024120326,10.89,13.35,안양6동,37.38999591,126.9329352,,
2024120328,12.33,22.46,부림동,37.39370294,126.9650584,,
2024120329,13.86,20.31,부림동,37.39353109,126.9649881,,
2024120330,18.8,29.93,달안동,37.39271473,126.9550536,,
2024120331,18.77,30.02,달안동,37.39247272,126.9549082,,
2024120332,10.27,13.14,범계동,37.39009537,126.9549762,,
2024120333,12.62,18.24,부흥동,37.39256438,126.9499784,,
2024120334,12.22,17.97,달안동,37.3927993,126.9500609,,
2024120335,12.07,12.23,호계2동,37.39103652,126.9450327,,
2024120336,3.36,9.82,귀인동,37.38472246,126.9646309,,
2024120337,5.73,8.93,귀인동,37.38468332,126.964652,,
2024120338,14.11,21.12,귀인동,37.38480137,126.9646701,,
2024120339,7.24,7.82,귀인동,37.38468019,126.9645641,,
2024120340,6.5,8.03,귀인동,37.3843078,126.9634813,,
2024120341,9.02,9.81,갈산동,37.38077969,126.9617881,,
2024120342,6.62,7.08,갈산동,37.38166171,126.9645332,,
2024120343,6.72,8.59,귀인동,37.38385213,126.9607557,,
2024120344,6.75,9.66,귀인동,37.38394406,126.9608115,,
2024120345,6.89,8.8,귀인동,37.3838243,126.9608801,,
2024120346,8.66,9.25,신촌동,37.38171519,126.9601605,,
2024120347,6.49,8.56,신촌동,37.38157609,126.9600709,,
2024120348,7.33,8.23,귀인동,37.38189634,126.9631872,,
2024120349,8.49,8.59,신촌동,37.37905699,126.9595389,,
2024120350,3.36,3.49,갈산동,37.37948613,126.9594352,,
2024120351,5.74,7.36,갈산동,37.3795706,126.9592648,,
2024120352,6.37,6.72,신촌동,37.37906892,126.9578721,,
2024120353,6.51,6.9,신촌동,37.3795678,126.9575485,,
2024120354,7.91,8.93,신촌동,37.37812171,126.9555754,,
2024120355,6.09,7.38,신촌동,37.37869794,126.9554649,,
2024120356,5.22,5.62,신촌동,37.37863735,126.9552672,,
2024120357,7.28,10.21,호계1동,37.37683306,126.9568962,,
2024120358,16.85,34.8,신촌동,37.37803543,126.9552481,,
2024120359,3.27,6.29,호계2동,37.37804483,126.9507078,,
2024120360,3.8,4.5,호계2동,37.37830695,126.9503317,,
2024120361,6.73,9.78,안양7동,37.39195725,126.9349515,,
2024120362,18.36,22.73,안양1동,37.39440509,126.9251215,,
2024120363,14.56,17.38,안양5동,37.39404623,126.925076,,
2024120365,7.16,10.13,부림동,37.39497377,126.9628538,,
2024120366,6.69,6.72,안양7동,37.39498982,126.9300954,,
2024120367,9.82,10.88,안양4동,37.39501338,126.9178866,,
2024120368,10.29,10.88,안양4동,37.39496749,126.9181326,,
2024120369,2.51,7.8,인덕원동,37.39632875,126.9700125,,
2024120370,6.21,45.38,인덕원동,37.39878373,126.9698113,,
2024120371,8.68,13.4,인덕원동,37.39664184,126.9650706,,
2024120372,6.59,9.8,부림동,37.39615361,126.9600106,,
2024120373,20.02,34.87,비산2동,37.39900271,126.9448921,,
2024120374,10.31,13.77,비산3동,37.39922827,126.9449779,,
2024120375,13.37,16.72,부흥동,37.39715583,126.9449798,,
2024120376,12.89,14.92,안양7동,37.3951431,126.9350282,,
2024120377,5.75,6.15,안양7동,37.39578564,126.9299774,,
2024120378,15.91,19.82,안양4동,37.39578167,126.9149866,,
2024120379,10.47,22.75,인덕원동,37.40006969,126.9692755,,
2024120380,11.65,16.74,부림동,37.39996873,126.9525485,,
2024120381,8.57,8.97,비산1동,37.39997894,126.9323637,,
2024120382,11.9,18.97,안양1동,37.40006341,126.9277058,,
2024120383,19.64,24.11,안양4동,37.39994831,126.9204705,,
2024120384,7.94,33.48,박달동,37.41374512,126.8850357,,
2024120385,6.19,6.69,박달동,37.41352117,126.8850364,,
2024120386,6.79,13.59,석수1동,37.41947109,126.9249618,,
2024120387,10.15,10.3,석수1동,37.41937641,126.9099553,,
2024120388,11.19,15.99,석수2동,37.41971701,126.8899384,,
2024120389,4.89,7.28,석수1동,37.41998308,126.9290405,,
2024120390,4.81,6.29,석수1동,37.41998716,126.9287381,,
2024120391,2.87,7.61,석수1동,37.41999085,126.9112256,,
2024120392,15.75,19.28,석수1동,37.42137845,126.9100143,,
2024120393,7.69,8.33,석수2동,37.42502998,126.9042575,,
2024120394,18.12,18.76,석수1동,37.42737968,126.9151018,,
2024120395,7.73,17.6,석수1동,37.4299684,126.9162509,,
2024120396,3.44,6.94,호계3동,37.36907675,126.9578033,,
2024120397,2.79,5.14,호계3동,37.36714548,126.9579718,,
2024120398,7.83,9.02,호계3동,37.36945557,126.9554445,,
2024120399,5.08,5.7,호계3동,37.36671544,126.9550711,,
2024120400,3.39,6.14,호계3동,37.36918539,126.9582909,,
2024120401,4.33,5.09,호계3동,37.36548698,126.9578835,,
2024120402,3.73,4.02,호계3동,37.36563922,126.9572251,,
2024120403,7.84,9.52,호계3동,37.36721109,126.9554667,,
2024120404,1.14,2.08,호계3동,37.36500618,126.9580563,,
2024120405,2.49,8.81,호계3동,37.36929709,126.9589158,,
2024120406,3.81,4.27,호계3동,37.36795097,126.9584056,,
2024120407,2.74,6.03,호계3동,37.36831713,126.9578755,,
2024120408,12.1,12.13,호계3동,37.36517796,126.9580921,,
2024120409,9.78,10.01,호계3동,37.3651127,126.9579999,,
2024120410,1.46,9.41,호계3동,37.36612724,126.9580338,,
2024120411,5.19,7.4,호계3동,37.36993711,126.9570379,,
2024120412,3.14,5.96,호계3동,37.36695823,126.9579889,,
2024120413,4.82,7.15,호계3동,37.36711237,126.9584866,,
2024120414,16.2,25.71,호계1동,37.3698218,126.9561064,,
2024120415,15.45,16.03,호계3동,37.36638637,126.9566384,,
2024120416,3.93,6.37,호계3동,37.3656174,126.95865,,
2024120417,6.28,8.92,호계3동,37.36536668,126.9587554,,
2024120418,3.52,6.96,호계3동,37.36968023,126.957756,,
2024120419,3.31,6.94,호계3동,37.36792642,126.9579062,,
2024120420,5.86,6.3,신촌동,37.38123291,126.9610313,,
2024120421,7.12,12.77,호계1동,37.37304982,126.9539593,,
2024120422,2.2,9.23,호계1동,37.37296342,126.9543268,,
2024120423,6.75,16.51,호계1동,37.37214885,126.9539848,,
2024120424,6.45,24.93,호계1동,37.37054099,126.9539455,,
2024120425,17.39,19.47,호계1동,37.37051245,126.9511571,,
2024120426,6.72,14.47,호계1동,37.37032875,126.9541265,,
2024120427,20.91,24.36,호계1동,37.3707183,126.9510815,,
2024120428,18.95,20.48,호계1동,37.37075303,126.9507803,,
2024120429,8.56,9.13,호계1동,37.37407614,126.9506235,,
2024120430,5.27,5.6,호계1동,37.37358372,126.9501702,,
2024120431,6.52,9.75,호계1동,37.37504751,126.9578671,,
2024120432,5.88,8.85,갈산동,37.37696376,126.959805,,
2024120433,4.61,7.47,호계2동,37.37685456,126.9555816,,
2024120434,8.82,13.34,호계1동,37.37723349,126.9568331,,
2024120435,8.25,10.66,갈산동,37.3780004,126.9592482,,
2024120436,10.03,16.69,신촌동,37.37955661,126.9572271,,
2024120437,4.35,4.84,호계1동,37.37690561,126.959742,,
2024120438,4.47,4.68,호계1동,37.37659786,126.9599763,,
2024120439,4.29,4.67,호계1동,37.37566611,126.9596234,,
2024120440,4.92,6.95,호계1동,37.37544224,126.9590146,,
2024120441,3.58,4.14,호계1동,37.37600283,126.9594327,,
2024120442,2.97,4.21,호계1동,37.37620617,126.9593408,,
2024120443,3.48,3.73,호계1동,37.37631532,126.9593119,,
2024120444,3.35,3.48,호계1동,37.37664409,126.9591335,,
2024120445,3.49,3.68,호계1동,37.37675092,126.9591877,,
2024120446,5.74,7.8,호계1동,37.37603697,126.9572313,,
2024120447,6.54,9.67,호계1동,37.37600923,126.957341,,
2024120448,6.57,9.92,호계1동,37.37613392,126.9572707,,
2024120449,5.5,8.54,호계1동,37.3762907,126.9571069,,
2024120450,5.02,7.45,호계1동,37.37689412,126.9567804,,
2024120451,6.75,10.49,호계1동,37.37709991,126.9567479,,
2024120452,7.54,13.28,호계1동,37.37699093,126.9560993,,
2024120453,9.08,14.28,호계1동,37.37714132,126.9566,,
2024120454,6.24,7.78,호계1동,37.37584291,126.9566646,,
2024120455,4.13,7.19,호계2동,37.37566907,126.9561839,,
2024120456,8.86,13.23,호계1동,37.37768124,126.958132,,
2024120457,5.03,6.61,신촌동,37.37772113,126.9579452,,
2024120458,8.44,13.21,호계1동,37.37759582,126.9578853,,
